priority,priority_reasons,missing_fields,source_type,file_ext,doc_id,sha256,file_name,title,source_url,attachment_url,column,publisher,publish_date,doc_no,business_domain,regulatory_topic,source_site,version_status,effective_date,expiry_date,supersedes_doc_id,superseded_by_doc_id,version_group
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_320,,320_2020年10月财产保险公司经营情况表_财产保险公司经营情况表.xls,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_321,,321_2020年10月保险业经营情况表_保险业经营情况表.xls,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_322,,322_2020年9月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xls,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_323,,323_2020年9月人身险公司经营情况表_人身险公司经营情况表.xls,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_324,,324_2020年9月财产保险公司经营情况表_财产保险公司经营情况表.xls,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_325,,325_2020年9月保险业经营情况表_保险业经营情况表.xls,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_326,,326_2020年8月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xls,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_327,,327_2020年8月人身险公司经营情况表_人身险公司经营情况表.xls,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_328,,328_2020年8月财产保险公司经营情况表_财产保险公司经营情况表.xls,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_329,,329_2020年8月保险业经营情况表_保险业经营情况表.xls,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
